序号,惯量,额定功率 (KW),额定扭矩 P_n (Nm),额定转速 n_N (RPM),额定电流 I_N (A),最大电流 I_max (A),最大扭矩 N_max (Nm),最大转速 (开弱磁) n_max (RPM),堵转扭1矩 M_0 (Nm),堵转电流 I_0 (Arms),扭矩常数 (Nm/A),惯量-不带抱闸 J_rot (kgcm²),惯量-带抱闸 J_rot (kgcm²),电机重量 M_mot (kg),电机重量-带抱闸 M_mot (kg),法兰 -A (mm),电机长度 -B (mm),电机长度 (带抱闸) -B (mm),轴端直径 -C (mm),轴端长度 -D (mm)
1,L,0.2,0.64,3000,0.92,3.1,2,6000,0.64,0.92,0.69,0.20,0.21,1.0,1.3,60,91,119,14h6,30
2,L,0.4,1.28,3000,1.43,4.8,4,6000,1.3,1.45,0.89,0.37,0.38,1.3,1.6,60,109,137,14h6,30
3,L,0.75,2.39,3000,2,6.7,8,6000,2.5,2.09,1.20,1.44,1.5,2.5,3.2,80,127,157,19h6,35
4,L,1.0,3.18,3000,3.86,12,9.8,6000,3.3,4,0.82,1.9,1.95,3.0,3.7,80,139,169,19h6,35
5,L,1.5,4.8,3000,5.6,17.7,14.85,5000,5.0,5.8,0.85,2.19,3.5,4.3,5.6,100,152,195,24h6,45
6,L,2.0,6.38,3000,6.3,20.4,19.8,5000,6.9,6.86,0.99,2.79,4.1,5.2,6.5,100,177,220,24h6,45
7,L,2.5,7.96,3000,8,26.8,26.4,5000,8,8,1.00,3.65,4.95,6.2,7.5,100,207,250,24h6,45
8,L,3.0,9.6,3000,10,33,29,5000,11,11.5,0.95,10.2,12.2,9.5,11.0,130,201,231,24h6,58
9,L,4.0,12.7,3000,12.6,49,45,5000,15,14.9,1.01,12.8,14.8,10.8,12.3,130,211,241,24h6,58
10,L,5.0,16,3000,16,50,48,5000,19,19,1.00,16.8,18.8,12.8,14.3,130,241,271,24h6,58
11,M,1.0,4.8,2000,4,12,14.3,4500,5.4,4.4,1.22,10.5,11.5,6.7,8.2,130,147,171,24h6,58
12,M,1.5,7.2,2000,6.3,20.6,24,4500,8.3,7.2,1.15,13.3,14.2,7.6,9.1,130,157,181,24h6,58
13,M,2.0,9.6,2000,6.3,23,33.5,4500,11.5,7.5,1.52,18.3,19.3,9.3,10.8,130,177,201,24h6,58
14,M,2.5,12,2000,9.9,33,41.5,4500,12.8,10.6,1.21,23.6,24.6,11.1,12.6,130,197,221,24h6,58
15,M,3.0,14.3,2000,9.7,33,47,4500,15,10.1,1.48,28.8,29.7,12.9,14.4,130,217,241,24h6,58
16,M,3.5,16.7,2000,15.1,50,54,4500,21.5,19.4,1.11,48.3,54.7,16.8,21.5,180,183,213,35h6,79
17,M,4.0,19.1,2000,15.6,50,60,4500,25,20.4,1.23,54.5,60.9,18.3,23.1,180,191,221,35h6,79
18,M,5.0,24,2000,15.6,50,76,4500,30,19.5,1.54,70,76.4,21.9,26.7,180,211,241,35h6,79
19,M,7.5,36,2000,15.3,50,116,4500,48,20.4,2.35,113.4,120,32.1,36.9,180,267,297,42h6,110
20,M,0.85,5.4,1500,3.88,12,17,4500,5.4,3.88,1.39,10.5,11.5,6.7,8.2,130,147,171,24h6,58
21,M,1.3,8.3,1500,5.84,16.7,24,4500,8.3,5.84,1.42,13.3,14.2,7.6,9.1,130,157,181,24h6,58
22,M,1.8,11.5,1500,6.3,20.6,36,4500,11.5,6.3,1.81,18.3,19.3,9.3,10.8,130,177,201,24h6,58
23,M,2.9,18.5,1500,9.9,31.5,57.6,4500,21.5,11.5,1.87,48.3,54.7,16.8,21.5,180,183,213,35h6,79
24,M,3.3,21,1500,14.7,47.6,67.2,4500,25,17.5,1.43,54.5,60.9,18.3,23.1,180,191,221,35h6,79
25,M,4.4,28,1500,15.9,50,86,4500,30,17.1,1.76,70,76.4,21.9,26.7,180,211,241,35h6,79
26,M,5.5,35,1500,15.4,50,112,4500,40,17.6,2.28,91.7,98.2,27.0,31.8,180,239,269,42h6,110
27,M,7.5,48,1500,15.7,50,150,3000,48,15.7,3.05,113.4,120,32.1,36.9,180,267,297,42h6,110